communityName,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,medIncome,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctUnemployed,PctEmploy,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,ViolentCrimesPerPop,nonViolPerPop
Belchertowntown,MA,10579,2.77,11.83,23.43,10.64,9.34,38868,15493,983,9.32,8.66,3.76,70.87,0,0,1,9.16,0,0,40,366.43,69,632.1,375.6,1722.24
Corcorancity,CA,13364,5.28,13.14,39.97,18.07,4.53,21558,8270,1965,24.15,18.56,12.35,26.3,2,14.43,4,28.86,12,86.57,88,634.83,109,786.32,764.68,2395.04
RoselleParkborough,NJ,12805,2.53,11.64,27.15,12.11,13.45,43365,19197,428,3.34,7.1,5.37,67.87,0,0,2,15.42,9,69.37,8,61.67,79,608.96,146.46,2489.79
Bedfordtown,MA,12996,2.9,11.06,24.36,11.87,11.73,57561,24590,204,1.72,1.81,2.78,68.39,0,0,0,0,1,7.42,18,133.61,37,274.64,141.03,1039.19
Maconcity,GA,106612,2.59,15.33,28.24,14.46,13.24,21038,11502,25178,24.38,15.65,8.38,54.52,20,17.95,102,91.52,384,344.55,408,366.08,1811,1624.94,820.1,9176.31
EastHamptontown,CT,10428,2.77,11.6,23.91,10.73,7.73,48000,19123,94,0.93,5.23,4.18,76.01,0,0,0,0,0,0,6,55.83,53,493.21,55.83,1507.54
BrooklynCentercity,MN,28887,2.57,12.37,26.52,12.34,11.29,34168,14645,2031,7.07,4.15,5.37,67.34,0,0,,,48,172.56,56,201.32,284,1020.96,,8480.43
Blythevillecity,AR,22906,2.84,16.24,31.45,15.07,10.56,18858,8925,5617,25.55,17.16,8.69,58.42,6,34.18,18,102.54,91,518.4,270,1538.11,774,4409.25,2193.23,13301.81
Uvaldecity,TX,14729,3.15,18.53,29.76,15.23,11.03,17103,8156,4844,33.49,34.76,13.57,49.31,0,0,1,6.29,6,37.72,47,295.49,116,729.28,339.49,2382.75
CathedralCitycity,CA,30085,2.76,12.15,27.34,12.45,12.91,30908,13331,4046,13.56,14.2,6.24,61.74,8,22.92,19,54.43,61,174.75,342,979.72,754,2159.96,1231.81,5445.74
NorthOgdencity,UT,11668,3.67,20.5,28.87,12.98,6.09,41178,11895,338,2.9,1.1,4.34,68.29,0,0,2,14.95,0,0,4,29.91,21,157.01,44.86,2011.21
Mariettacity,GA,44129,2.22,12.28,35.99,17.68,9.2,27371,15808,6079,14.16,7.22,5.33,67.57,0,0,62,120.79,158,307.81,214,416.91,809,1576.08,845.51,10025.33
Lowertownship,NJ,20820,2.48,11.08,21.51,9.93,20.18,26668,12671,1818,8.82,10.14,7.71,53.15,0,0,19,89.15,9,42.23,24,112.61,189,886.78,243.98,3373.53
Morristowntown,NJ,16189,2.41,9.1,28.07,12.04,12.82,42748,22036,1116,7.27,8.68,5.03,67.6,0,0,3,18.19,48,291.07,80,485.11,166,1006.61,794.37,5615.18
Chillicothecity,OH,21923,2.42,12.9,23.66,11.37,16.46,22458,12529,4250,19.84,10.68,10.65,50.03,0,0,10,44.65,33,147.35,50,223.26,258,1152.04,415.27,7153.38
Vincennescity,IN,19859,2.64,24.44,35.14,24.54,14.11,18829,10162,3575,20.72,11.4,8.73,50.83,0,0,9,45.08,3,15.03,16,80.14,529,2649.77,140.25,6767.18
Demingcity,NM,10970,2.7,15.53,24.59,11.83,17.71,15570,7801,3675,33.89,25.54,17.4,38.87,0,0,2,14.64,6,43.93,66,483.27,233,1706.08,541.85,5791.9
Waterfordtownship,NJ,10940,3.17,14.49,26.63,11.48,6.48,43673,14605,299,2.78,7.1,3.36,71.78,0,0,2,17.55,1,8.77,12,105.27,95,833.41,131.59,2851.13
Chelmsfordtown,MA,32383,2.83,13.28,25.84,12.39,8.71,53971,21814,819,2.55,2.53,5.31,72.2,0,0,1,2.98,11,32.76,112,333.59,178,530.17,369.33,2689.58
Wilmingtoncity,NC,55530,2.36,17.08,30.71,17.91,14.46,20609,12077,11780,22.11,9.78,6.21,57.86,7,10.98,38,59.6,279,437.59,443,694.81,1531,2401.27,1202.99,9584.68
Lubbockcity,TX,186206,2.69,18.34,35.04,20.23,8.84,24130,12322,34593,19.56,11.4,6.56,61.56,17,8.58,136,68.64,282,142.33,840,423.97,2541,1282.5,643.52,5655.94
Vinelandcity,NJ,54780,2.92,14.67,27.2,13.4,12.72,30733,12963,5739,10.91,20.35,7.2,58.57,4,7.28,46,83.7,193,351.19,253,460.37,971,1766.87,902.54,7276.73
Brocktoncity,MA,92788,2.82,14.05,28.6,13.95,10.85,31712,13455,12396,13.64,7.74,9.22,60.71,15,17.07,54,61.44,328,373.2,759,863.6,1816,2066.27,1315.31,
Dovertownship,NJ,76371,2.79,13.94,24.48,12.14,14.42,40704,17305,3699,4.92,6.98,5.01,60.35,1,1.27,16,20.34,36,45.77,109,138.58,641,814.97,205.97,3743.02
Dunedincity,FL,34012,2.14,9.04,17.98,8.56,28.7,25906,16721,2357,7.12,5.5,3.89,49.29,1,2.89,10,28.85,28,80.79,139,401.07,382,1102.23,513.6,3990.54
Novatocity,CA,47585,2.61,11.95,24.71,11.06,8.96,45890,21518,1971,4.18,3.08,2.92,71.88,0,0,22,44.86,29,59.13,137,279.36,411,838.07,383.35,3574.56
Delhitownship,OH,30250,3.12,15.83,26.36,13.38,10.17,41726,14789,1065,3.6,5.6,2.94,67.94,0,0,10,32.17,6,19.3,7,22.52,79,254.17,74,2429.14
Orlandocity,FL,164693,2.51,15.77,34.53,18.37,10.06,26119,13879,23797,15.76,7.62,4.56,69.31,15,8.35,209,116.34,1107,616.2,2809,1563.6,4352,2422.5,2304.49,9956.08
Cerritoscity,CA,53240,3.54,18.6,28.65,15.58,5.48,59076,18966,2096,3.95,3.63,3.67,69.17,5,9.08,10,18.16,217,394.11,268,486.73,797,1447.49,908.08,6418.34
Hillsboroughtownship,NJ,28808,2.86,11.68,24.31,10.08,5.19,59069,22449,379,1.33,3.11,3.46,77.15,0,0,0,0,9,29.06,1,3.23,105,339.04,32.29,1443.33
Cartersvillecity,GA,12035,2.53,13.88,25.71,13.49,15.16,25384,14086,1745,14.89,19.62,5.73,60.56,0,0,6,43.85,11,80.4,81,592.02,207,1512.94,716.27,5562.05
CliffsideParkborough,NJ,20393,2.32,9.66,24.38,10.7,17.04,40600,23814,942,4.63,13.64,5.86,60.79,0,0,3,14.32,6,28.65,17,81.17,64,305.58,124.14,1675.9
Miamicity,OK,13142,2.43,18.23,27.66,16.62,19.02,17278,9860,2488,20.56,11.66,9,47.75,0,0,9,66.74,7,51.91,38,281.77,165,1223.49,400.42,5613.23
Oronotown,ME,10573,4.31,47.94,63.35,55.71,5.89,27922,10248,1294,21.14,4.38,4.86,48.76,0,0,0,0,0,0,2,18.87,9,84.92,18.87,1283.26
Palatinevillage,IL,39253,2.59,12.34,27.52,12.14,7.98,48668,22098,963,2.47,3.76,2.6,74.38,8,17.07,,,10,21.33,39,83.2,197,420.26,,2647.41
Largocity,FL,65674,2.06,8.01,19.71,8.96,28.99,24296,14539,4788,7.42,6.32,3.9,50.42,1,1.45,22,32,57,82.9,348,506.15,657,955.57,622.5,4126.25
DearbornHeightscity,MI,60838,2.6,11.67,24.32,11.43,15.59,36771,16493,3313,5.5,8.41,5.89,57.21,2,3.41,,,108,184.26,138,235.44,481,820.64,,4708.85
Schenectadycity,NY,65566,2.36,13.47,29.18,14.95,15.01,24316,12569,9399,14.93,8.56,7.16,56.99,5,7.79,40,62.35,170,264.97,448,698.29,177,275.89,1033.4,
Schaumburgvillage,IL,68586,2.49,12.92,30.15,13.17,6.42,47029,20826,1826,2.68,3.07,2.45,77.99,1,1.4,,,42,58.61,95,132.57,567,791.24,,4765.56
Piedmontcity,CA,10602,2.82,11.32,16.79,8.1,13.07,84498,42951,191,1.8,0.63,1.61,65.2,0,0,0,0,10,85.92,6,51.55,125,1073.98,137.47,3909.27
Hattiesburgcity,MS,41882,2.63,21.46,38.93,25.22,11.21,15576,10013,13483,35.87,11.14,9.73,51.51,10,20.75,26,53.95,77,159.78,241,500.08,948,1967.13,734.56,6596.53
Longmeadowtown,MA,15467,2.89,15.52,21.48,11.99,13.28,63203,29244,336,2.25,2.1,3.51,63.04,0,0,3,18.88,1,6.29,3,18.88,41,258.09,44.06,1982.88
Oaklandcity,CA,372242,2.58,12.88,27.02,12.96,10.63,27095,14676,68781,18.82,11.96,9.38,56.97,154,40.84,353,93.62,4559,1209.17,4743,1257.97,8355,2215.96,2601.6,9420.56
FairLawnborough,NJ,30548,2.66,10.77,20.02,9.29,18.45,49658,22418,894,2.94,6.64,3.76,62.04,0,0,0,0,13,41.47,12,38.28,97,309.46,79.76,1885.47
LowerPaxtontownship,PA,39162,2.44,11.16,24.95,11.4,11.65,37783,18522,1074,2.8,3.18,2.06,71.66,1,2.51,7,17.57,37,92.89,115,288.7,229,574.89,401.67,3549.73
Bangorcity,ME,33181,2.48,14.56,30.69,16.58,11.85,24674,13418,4702,14.98,5.83,5.78,61.64,2,6.24,18,56.2,20,62.44,32,99.91,162,505.79,224.8,4842.49
ParkRidgecity,IL,36175,2.69,11.41,20.66,10.44,16.74,52817,26150,443,1.25,4.46,2.31,63.18,0,0,,,4,10.91,24,65.47,284,774.73,,2695.18
FarmersBranchcity,TX,24250,2.76,12.72,25.5,11.93,9.13,38037,17122,1609,6.71,8.67,5.39,70.08,1,3.99,0,0,37,147.59,59,235.34,326,1300.36,386.92,6382.13
Montvilletownship,NJ,15600,3.19,14.99,24.83,13.06,8.19,74825,29785,122,0.79,4.36,4.7,68.51,1,6.19,1,6.19,3,18.57,1,6.19,52,321.8,37.13,2054.58
Towamencintownship,PA,14167,2.72,13.42,23.91,10.99,9.47,48547,19370,387,2.75,3.65,2.64,71.4,0,0,1,6.94,2,13.88,7,48.58,58,402.55,69.41,2151.58
Shelbytownship,MI,48655,2.89,15.7,29.87,15.07,7,47930,19285,1366,2.81,5.2,5.15,69.79,1,2,,,9,18,64,128.01,204,408.02,,2684.16
DaytonaBeachcity,FL,61921,2.25,16.18,31.84,19.52,18.57,18631,11901,13026,22.49,8.81,7.89,50.6,12,18.28,90,137.13,349,531.76,916,1395.68,1848,2815.74,2082.86,9425.42
SouthHadleytown,MA,16685,2.84,19.78,31.62,20.47,14.06,38694,16342,645,4.39,5.02,3.37,64.42,0,0,2,11.62,7,40.66,26,151.01,36,209.1,203.29,1469.48
Springdalecity,AR,29941,2.62,14.12,27.13,12.91,11.4,25376,11837,2775,9.36,13.03,3.56,65.22,1,2.7,9,24.32,13,35.12,43,116.17,256,691.63,178.31,3787.76
Mercedescity,TX,12694,3.53,19.96,30.86,15.94,11.35,12908,5237,6187,48.82,44.5,17.42,42.27,1,6.84,9,61.59,6,41.06,169,1156.58,166,1136.05,1266.08,2607.45
Uticacity,NY,68637,2.42,13.75,27.31,14.3,17.16,19950,10726,14308,21.73,15.21,9.39,50.91,14,21.88,24,37.51,170,265.72,65,101.6,681,1064.43,426.71,5608.18
CedarHillcity,TX,19976,3.04,13.53,27.46,10.76,3.94,41457,15194,735,3.72,4.16,3.61,75.75,1,3.94,4,15.77,6,23.65,16,63.06,194,764.62,106.42,3121.55
TexasCitycity,TX,40822,2.7,15.24,26.94,12.93,10.48,26144,11794,6776,16.76,11.39,8.15,57.94,4,9.42,36,84.81,109,256.8,144,339.25,674,1587.9,690.29,8622.72
WestCovinacity,CA,96086,3.19,15.55,29.44,14.49,8.07,42481,15862,7347,7.71,6.57,4.96,65.85,5,4.82,33,31.79,276,265.85,350,337.13,1017,979.61,639.59,5478.87
Pleasantoncity,CA,50553,2.73,14.08,26.43,12.45,4.85,59458,24812,1212,2.41,1.51,3.06,76.54,0,0,4,6.9,22,37.95,58,100.05,346,596.84,144.9,3508.59
EastGrandRapidscity,MI,10807,2.86,14.01,20.41,9,10.22,60355,29230,277,2.56,1.36,2.1,65.06,0,0,,,2,19.42,3,29.13,26,252.43,,2495.15
Norwalkcity,OH,14731,2.6,13.66,26.83,13.13,12.18,25587,12247,1481,10.3,8.78,7.78,60.69,0,0,1,6.55,1,6.55,0,0,43,281.58,13.1,2363.96
Hamiltoncity,OH,61368,2.56,13.38,26.52,12.38,12.76,22886,11108,10179,16.84,12.14,7.94,54.73,6,9.2,81,124.24,246,377.31,601,921.81,1152,1766.93,1432.56,6883.65
Harwichtown,MA,10275,2.28,9.7,17.94,8.24,25.83,28259,15020,568,5.57,3.07,8.97,47.36,0,0,0,0,5,45.9,34,312.1,79,725.17,358,2717.09
Jeffersontowncity,KY,23221,2.61,13.01,26.64,11.8,7.31,38962,17302,785,3.42,4.44,2.92,73.86,0,0,10,42.5,11,46.75,72,306.02,73,310.27,395.27,2375.89
Bainbridgecity,GA,10712,2.68,15.57,26.95,13.05,14.37,18641,9291,2984,28.83,18.01,6.76,51.74,2,17.45,4,34.89,33,287.88,74,645.56,188,1640.06,985.78,7781.56
MenloParkcity,CA,28040,2.37,8.19,21.09,8.71,15.66,50468,30130,1745,6.47,4.96,3.23,62.37,2,6.69,8,26.75,68,227.39,101,337.74,298,996.49,598.56,4270.19
Flagstaffcity,AZ,45857,3.18,25.53,43.03,28.52,3.98,28382,11517,6813,17.2,4.85,7.14,64.11,2,3.81,14,26.67,41,78.11,202,384.86,586,1116.47,493.46,8139.16
Kilgorecity,TX,11066,2.54,15.65,26.46,14.14,16.39,24644,12644,1472,13.89,12.08,7.02,55.47,1,8.64,17,146.88,21,181.44,82,708.48,264,2280.97,1045.45,10860.55
Glassboroborough,NJ,15614,3.11,23.11,39.34,26.05,9.77,34218,12684,1959,14.31,8.39,8.11,59.52,0,0,16,91.56,23,131.62,33,188.85,182,1041.55,412.04,5133.34
SanJuancity,TX,10815,3.88,20.79,32.24,16.43,9.61,14292,6014,4159,38.95,46.88,13.29,46.86,1,7.5,3,22.49,8,59.98,29,217.44,233,1747.02,307.42,4978.63
Swampscotttown,MA,13650,2.59,11.08,21.29,10.55,16.26,50191,25576,521,3.87,2.21,4.36,61.64,0,0,0,0,4,27.67,10,69.18,198,1369.77,96.85,3147.7
LosGatostown,CA,27357,2.43,10.95,22.84,10.17,10.83,57815,33714,1241,4.65,2.12,2.92,69.9,0,0,5,17.02,12,40.85,62,211.06,253,861.28,268.94,3295.32
CreveCoeurcity,MO,12304,2.41,11.22,23.46,11.43,15.43,59913,38831,427,3.62,3.29,1.79,62.36,0,0,0,0,9,73.92,9,73.92,64,525.62,147.83,3030.55
Denisoncity,TX,21505,2.47,13.16,24.08,11.17,16.37,21949,10822,3261,15.37,13.37,7.26,54.92,2,9.13,9,41.09,27,123.28,138,630.08,258,1177.97,803.58,7108.94
Bakersfieldcity,CA,174820,2.8,14.31,28.34,13.09,8.18,32154,14183,25782,15,8.09,7.1,62.05,27,14.06,39,20.31,568,295.8,1237,644.2,3650,1900.83,974.37,7215.88
TheVillagecity,OK,10353,2.27,8.66,24.32,9.53,15.1,28097,14172,727,7.04,2.62,3.57,66.29,0,0,4,36.6,16,146.39,46,420.86,139,1271.73,603.84,7721.87
Albanycity,NY,101082,2.4,17.82,35.77,22.08,13.02,25152,13742,16903,18.31,8.95,6.09,59.16,6,5.73,59,56.39,481,459.68,692,661.33,2063,1971.58,1183.14,6316.12
Newarkcity,NJ,275221,3.01,16.79,31.88,16.08,8.51,21650,9424,70702,26.34,21.97,14.71,51.51,96,36.89,257,98.76,5892,2264.13,3977,1528.25,6879,2643.41,3928.03,10942.54
EastOrangecity,NJ,73552,2.7,14.22,28.16,13.66,10.2,26810,12376,12699,17.71,9.96,11.76,59.92,15,20.48,88,120.18,1129,1541.82,922,1259.13,1732,2365.31,2941.62,7166.95
Ogdencity,UT,63909,2.64,15.36,29.27,14.82,12.98,23487,10754,10482,16.78,7.78,8.2,57.63,6,8.66,42,60.61,98,141.43,254,366.58,890,1284.46,577.28,7709.63
Petersburgcity,VA,38386,2.61,12.75,27.11,13.68,13.6,21309,10547,7359,20.3,17.42,8.45,54.17,11,26.6,26,62.88,221,534.51,293,708.65,810,1959.08,1332.66,6682.63
Baytowncity,TX,63850,2.85,16.11,29.89,14.6,8.86,30151,12963,10148,16.08,12.87,7.87,59.63,10,14.55,46,66.93,106,154.24,227,330.31,754,1097.14,566.03,6086.67
Eugenecity,OR,112669,2.43,17.3,31.76,19.04,11.15,25369,13886,18176,17.04,3.96,6.42,59.99,3,2.5,64,53.23,166,138.07,237,197.13,1381,1148.67,390.93,6890.36
Providencecity,RI,160728,2.73,18.71,34.52,20.6,11.91,22147,11838,34120,22.96,16.42,9.18,54.98,22,14.69,114,76.1,636,424.55,601,401.19,4240,2830.35,916.52,9460.97
NorthLittleRockcity,AR,61741,2.47,13.36,25.2,11.67,13.95,23958,12390,10386,17.2,10.03,5.39,58.79,13,20.64,71,112.73,324,514.42,235,373.12,1456,2311.73,1020.91,11250.65
Metuchenborough,NJ,12804,2.59,10.61,21.71,9.93,14.18,53226,23174,371,2.9,5.65,3.14,67.92,0,0,0,0,12,91.78,12,91.78,88,673.04,183.56,2699.81
Warrentown,RI,11385,2.53,11.4,23.92,10.96,15.67,31637,15255,792,7.16,14.14,5.21,64.04,0,0,1,8.82,0,0,0,0,61,538.2,8.82,3167.46
Kentcity,OH,28835,3.27,36.25,54.92,43.89,6.23,21463,9191,5956,27.49,4.23,6.9,56.89,0,0,10,34.72,26,90.27,78,270.81,194,673.56,395.81,3517.12
Cypresscity,CA,42655,2.99,14.79,28.06,13.95,7.06,50981,19147,1895,4.46,3.38,4.48,71.44,1,2.14,7,15,57,122.18,84,180.06,423,906.71,319.39,4392.09
Yukoncity,OK,20935,2.87,15.61,26.01,11.09,6.58,35090,13430,1396,6.78,5.67,4.96,71.81,0,0,5,22.91,6,27.5,18,82.49,173,792.78,132.89,3986.8
Lislevillage,IL,19512,2.49,12.32,31.49,13.86,4.53,49712,23952,547,2.85,1.53,2.26,79.6,0,0,,,9,43.92,7,34.16,96,468.52,,3377.26
ChapelHilltown,NC,38719,2.81,30.34,51.27,37.75,7.53,30489,16288,4861,16.14,3.34,4.42,57.03,1,2.11,15,31.62,100,210.8,203,427.93,516,1087.74,672.46,5046.59
Bedfordcity,IN,13817,2.4,12.47,23.09,11.23,18.14,23603,12219,1527,11.43,10.44,5.94,52.34,0,0,4,27.99,3,21,70,489.89,104,727.83,538.88,4674.92
Mauldincity,SC,11587,2.67,14.45,26.9,12.13,6.47,41524,16273,405,3.51,3.88,2.67,75.09,0,0,1,7.6,3,22.8,24,182.38,41,311.57,212.78,2173.42
Kentcity,WA,37960,2.34,13.11,33.75,16.02,6.05,32341,15993,3297,8.76,3.53,4.3,74.25,5,12.03,28,67.39,105,252.7,85,204.57,718,1728,536.69,9352.36
Waynesborocity,VA,18549,2.45,12.77,24.34,12,15.47,26668,13469,2059,11.39,14.05,4.82,58.1,4,21.12,5,26.4,5,26.4,50,264.03,136,718.17,337.96,4198.13
Westfieldcity,MA,38372,2.78,16.57,29.28,16.68,12.39,33498,14225,2878,8,7.81,5.15,62.68,0,0,11,28.65,14,36.46,315,820.44,292,760.54,885.56,2878.05
Bountifulcity,UT,36659,3.29,18.53,28.77,13.84,9.77,38346,14399,1780,4.91,1.6,3.62,64.65,0,0,10,26.38,6,15.83,36,94.96,162,427.32,137.16,2640.39
Cadillaccity,MI,10104,2.53,12.99,25.39,11.61,14,21170,11241,1525,15.52,10.09,12.11,52.54,1,9.52,,,2,19.05,24,228.55,69,657.08,,5913.72
Arlingtontown,MA,44630,2.37,9.07,24.76,10.69,15.62,43309,21449,2057,4.63,4.32,4.47,66.83,1,2.16,3,6.48,11,23.77,72,155.6,166,358.75,188.02,1346.39
PaloAltocity,CA,55900,2.31,10.27,23.58,10.36,13.73,55333,32489,2561,4.65,1.9,2.4,68.21,0,0,11,19.23,61,106.62,66,115.36,487,851.23,241.21,5743.65
Spartatownship,NJ,15157,2.92,14.48,22.83,11.08,7.45,63032,24516,288,1.9,1.95,3.85,68.78,0,0,0,0,1,6.45,7,45.12,39,251.39,51.57,1366.51
Stratfordtown,CT,49389,2.56,11.17,22.59,10.65,18.16,41745,18574,1737,3.54,9.02,4.97,62.31,1,1.99,2,3.99,77,153.58,20,39.89,449,895.55,199.45,4374.02
DeerParkcity,TX,27652,3.13,17.12,27.74,12.78,4.32,46199,15645,1417,5.17,4.25,5.29,69.4,0,0,0,0,8,26.35,55,181.12,210,691.56,207.47,2133.97
ArlingtonHeightsvillage,IL,75460,2.62,11.33,24.17,10.99,10.64,51331,22864,1788,2.4,3.85,2.65,69.46,2,2.6,,,20,25.95,42,54.5,389,504.73,,2489.91
Hazelwoodcity,MO,15324,2.41,11.77,28.45,12.75,9.37,35197,15992,682,4.45,5.9,3.96,72.3,2,12.56,3,18.83,24,150.67,38,238.56,176,1104.9,420.62,4564
NewHopecity,MN,21853,2.57,12.51,27.14,13.29,10.19,36096,15941,1353,6.51,4.78,4.28,70.05,1,4.69,,,14,65.62,27,126.55,108,506.19,,3173.04
Newberrytownship,PA,12003,2.77,14.01,27.96,12.06,6.12,35005,13512,323,2.7,8.13,2.96,75.1,0,0,3,23.67,0,0,4,31.56,95,749.57,55.23,2351.27
SouthElMontecity,CA,20850,4.37,19.55,36.85,19.42,5.09,27074,8043,4373,21.19,39.05,11.49,57.83,4,18.01,10,45.04,109,490.9,217,977.3,286,1288.06,1531.26,4107.37
Stephenvillecity,TX,13502,2.45,24.03,39.51,27.56,13.92,18346,10802,2724,22.14,8.74,7.18,55.69,0,0,1,6.91,3,20.72,5,34.54,132,911.79,62.17,4759.27
Cudahycity,CA,22817,4.34,19.01,36.96,19.06,3.73,22279,5935,6241,27.54,44.2,10.24,56.99,3,12.96,7,30.23,69,297.98,290,1252.38,144,621.87,1593.54,2725
Lincolntownship,MI,13604,2.6,13.21,24.15,10.63,10.41,37771,16231,472,3.48,5.01,3.6,68.65,0,0,,,0,0,26,187.39,62,446.85,,2724.32
Albanycity,CA,16327,2.27,9.56,23.73,10.12,11.57,34836,18158,1558,9.59,2.94,2.96,65.62,1,5.9,1,5.9,42,247.63,58,341.96,124,731.09,601.38,4020.99
Ewingtownship,NJ,34185,2.82,16.96,28.21,17.49,15.37,43191,18102,1013,3.31,7.82,3.82,62.49,2,5.69,11,31.31,38,108.15,25,71.15,220,626.16,216.31,5063.33
FortThomascity,KY,16032,2.53,11.91,23.09,10.78,15.49,36977,16495,690,4.39,4.8,3.09,62.83,0,0,1,6.17,0,0,9,55.52,24,148.05,61.69,888.29
LaMiradacity,CA,40452,3.18,16.12,28.36,15.09,10.61,47143,16415,1506,3.89,5.46,4.57,64.75,2,4.29,9,19.32,83,178.21,209,448.74,404,867.42,650.56,3139.02
Swataratownship,PA,19661,2.58,11.32,24.35,11.22,15.45,33817,14636,1233,6.6,9.96,3.75,63.08,0,0,8,40.01,24,120.02,73,365.05,187,935.14,525.08,6706.01
Totowaborough,NJ,10177,2.94,12.14,24.45,12.27,17.52,46309,17940,295,3.09,17.12,3.91,58.19,0,0,1,9.59,6,57.52,12,115.04,54,517.69,182.15,4908.45
WestCaldwelltownship,NJ,10422,2.94,11.64,21.71,10.56,13.53,65920,25409,104,1.01,5.68,2.03,69.73,0,0,0,0,5,47.2,4,37.76,27,254.89,84.96,2473.33
Coventrytown,RI,31083,2.78,13.45,24.46,11.2,11.74,37230,14566,1483,4.85,9.2,5.7,66.47,0,0,4,12.83,1,3.21,34,109.03,180,577.2,125.06,2379.35
CalumetCitycity,IL,37840,2.45,11.78,25.06,11.17,14.64,30138,13569,3694,9.82,9.64,7.73,58.81,7,18.2,,,131,340.55,166,431.54,479,1245.22,,8227.83
Troycity,MI,72884,2.79,13.95,24.43,11.69,7.69,55407,23249,2061,2.83,3.54,3.19,70.67,1,1.26,,,28,35.23,185,232.8,477,600.23,,4279.66
Danvillecity,CA,31306,2.83,13.81,21.1,9.95,7.67,74472,31265,652,2.1,1.15,2.41,70.87,1,2.57,1,2.57,5,12.85,3,7.71,156,400.99,25.7,1765.89
Waycrosscity,GA,16410,2.51,14.56,24.55,11.96,16.84,16586,9009,4469,27.9,20.25,8.17,46.8,2,11.15,11,61.35,54,301.15,64,356.92,235,1310.58,730.58,9118.29
Centervillecity,OH,21082,2.53,12.15,23.61,11.16,12.52,45424,21790,774,3.74,2.35,2.44,66.01,0,0,5,22.9,7,32.06,13,59.53,134,613.67,114.49,3201.14
Rostravertownship,PA,11224,2.6,13.02,22.72,11.14,14.95,25615,11587,1214,10.86,7.83,10.57,50.13,0,0,0,0,2,17.52,5,43.81,42,367.97,61.33,3451.9
Ryecity,NY,14936,2.75,11.94,22.13,10.39,12.61,69695,46038,567,3.85,2.89,2.55,62.67,2,13.35,0,0,2,13.35,1,6.68,55,367.16,33.38,1962.62
Lyndhursttownship,NJ,18262,2.55,11.38,24.45,11.7,17.73,41000,17752,706,3.87,12.36,4.55,61.28,0,0,6,31.47,10,52.45,18,94.41,88,461.55,178.33,3498.37
Somervillecity,MA,76210,2.51,12.34,36.91,18.58,11.08,32455,15179,8492,11.47,11.08,6.33,66.46,0,0,10,14.43,123,177.45,40,57.71,604,871.37,249.58,3348.43
Sheltontown,CT,35418,2.84,12.09,24.14,11.51,10.81,49965,20256,867,2.5,6.88,4.44,68.34,0,0,1,2.71,10,27.1,5,13.55,195,528.38,43.35,1514.7
NorthBergentownship,NJ,48414,2.55,11.37,26.02,11.7,13.76,33488,15744,4572,9.49,18.23,7.69,62.05,2,3.98,9,17.9,80,159.08,57,113.34,508,1010.16,294.3,4128.14
Columbuscity,GA,179278,2.72,15.74,30.25,15.46,9.92,24056,11949,31941,18.63,11.26,7.16,60.99,32,16.81,49,25.75,451,236.96,631,331.53,2309,1213.17,611.05,5857.78
MortonGrovevillage,IL,22408,2.76,10.92,19.86,10.15,17.23,47808,20206,652,2.94,7.35,2.77,64.18,1,4.47,,,7,31.29,24,107.28,140,625.78,,3249.6
TwinFallscity,ID,27591,2.63,15.07,25.75,12.27,13.65,23206,11329,3876,14.44,7.94,4.35,62.4,1,3.09,10,30.86,14,43.21,117,361.08,366,1129.53,438.23,6156.84
Minnetonkacity,MN,48370,2.59,11.95,24.28,10.68,9.07,50659,25221,981,2.06,1.53,3.65,73.54,0,0,,,13,25.36,17,33.17,371,723.82,,3092.32
EastProvidencecity,RI,50380,2.53,11.71,24.59,11.59,16.6,31007,14387,3356,6.79,14.33,5.57,61.49,0,0,2,4.02,20,40.24,53,106.62,266,535.14,150.88,2939.22
Cohoescity,NY,16825,2.36,12.9,26.47,12.87,16.65,24319,12406,2181,13.14,15.34,7.11,56.82,0,0,1,6.31,3,18.93,102,643.78,124,782.63,669.02,
GlensFallscity,NY,15023,2.45,13.57,28.97,14.19,13.17,27312,13807,1615,10.97,6.52,5.84,61.92,0,0,10,73.87,12,88.65,247,1824.63,196,1447.88,1987.15,
Dyersburgcity,TN,16317,2.44,13.97,26.67,13.37,15.05,20053,11400,3597,22.74,25.26,7.35,54.78,4,22.22,19,105.54,20,111.1,131,727.7,240,1333.19,966.56,6504.83
Cromwelltown,CT,12286,2.53,9.88,23.03,9.43,13.23,46970,20518,306,2.61,5.61,3.09,67.87,0,0,0,0,10,78.98,7,55.28,60,473.86,134.26,3269.63
Bloomfieldtownship,MI,42473,2.7,12.53,20.08,10.27,12.47,84441,45504,597,1.42,1.82,2.08,64.64,0,0,,,20,45.83,55,126.02,190,435.34,,2955.73
Cranstoncity,RI,76060,2.59,11.26,24.23,11.85,16.87,34528,15922,4715,6.52,8.52,5.96,58.19,0,0,9,11.72,36,46.89,83,108.1,616,802.29,166.71,3413.65
